ID_reclamo;ID_edificio;ID_elevador;Legajo_tec;Falla;Fecha
1;193;206;2;Vestibulum sed magna at nunc commodo placerat. Praesent blandit.;2023-12-15
2;132;401;5;Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.;2023-10-17
3;109;327;3;Pellentesque viverra pede ac diam.;2024-01-06
4;154;88;4;Vestibulum rutrum rutrum neque.;2024-01-02
5;115;298;4;In sagittis dui vel nisl.;2024-07-15
6;152;56;2;Vivamus tortor. Duis mattis egestas metus.;2024-01-29
7;146;353;3;Praesent blandit lacinia erat.;2024-03-24
8;106;287;1;Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.;2023-09-13
9;5;120;4;Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.;2024-06-25
10;107;161;5;In quis justo.;2024-01-24
11;5;7;1;Donec dapibus.;2023-08-02
12;39;236;1;Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.;2023-10-18
13;59;129;4;Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.;2024-03-31
14;138;180;1;Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.;2024-03-10
15;64;445;4;Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.;2023-10-11
16;179;185;4;Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.;2024-05-12
17;11;407;3;Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.;2023-11-08
18;109;485;2;In hac habitasse platea dictumst.;2023-08-12
19;143;75;4;Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.;2024-07-10
20;111;403;5;Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.;2023-08-30
21;68;116;2;Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.;2023-12-03
22;129;481;5;"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.";2023-08-04
23;186;202;2;Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.;2024-07-07
24;105;32;1;Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.;2023-10-22
25;98;329;4;In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.;2024-04-07
26;44;212;2;Donec semper sapien a libero. Nam dui.;2023-09-09
27;4;438;4;Morbi a ipsum.;2023-08-16
28;110;299;5;Donec semper sapien a libero. Nam dui.;2023-09-27
29;125;234;1;Integer a nibh. In quis justo.;2023-10-09
30;184;192;5;In est risus, auctor sed, tristique in, tempus sit amet, sem.;2024-01-06
31;11;95;4;Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.;2023-10-03
32;75;303;3;Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.;2024-02-27
33;192;73;1;Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.;2024-04-13
34;150;103;1;Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.;2024-04-21
35;50;76;1;Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.;2024-03-11
36;108;391;3;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.";2024-01-27
37;72;394;1;Phasellus in felis.;2023-08-17
38;15;39;3;Fusce posuere felis sed lacus.;2023-10-16
39;56;275;1;Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.;2024-07-05
40;63;131;5;Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.;2024-06-06
41;82;305;1;Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.;2023-09-27
42;98;318;1;Phasellus in felis. Donec semper sapien a libero.;2024-01-05
43;121;13;2;Morbi non lectus.;2024-06-16
44;11;224;4;Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.;2024-02-11
45;178;236;1;Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.;2023-08-04
46;99;17;4;In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.;2024-02-24
47;59;30;4;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.;2024-06-30
48;79;396;3;Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.;2023-12-17
49;129;39;2;Phasellus in felis.;2024-04-18
50;86;497;5;Curabitur in libero ut massa volutpat convallis.;2023-09-21
51;94;130;3;Nullam molestie nibh in lectus. Pellentesque at nulla.;2024-01-07
52;131;250;4;Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.;2024-01-21
53;172;425;5;Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.;2023-10-03
54;61;69;4;Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.;2024-01-30
55;138;389;1;Nullam porttitor lacus at turpis.;2024-02-21
56;102;444;5;Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.;2024-01-08
57;133;471;3;Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.;2024-04-29
58;107;446;1;Vestibulum rutrum rutrum neque.;2024-07-03
59;114;367;5;Sed ante.;2023-09-17
60;58;376;5;Nulla suscipit ligula in lacus.;2024-06-11
61;184;247;2;Maecenas rhoncus aliquam lacus.;2024-02-23
62;104;20;1;Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.;2024-06-30
63;38;94;1;Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;2024-01-21
64;90;420;5;Nulla mollis molestie lorem. Quisque ut erat.;2023-10-27
65;177;404;1;Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.;2024-01-29
66;138;284;4;Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.;2024-06-18
67;120;389;3;Nulla mollis molestie lorem.;2023-11-06
68;87;62;5;Nunc purus.;2024-03-13
69;66;270;1;Integer a nibh. In quis justo.;2023-08-13
70;11;76;3;In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.;2023-12-25
71;64;398;5;Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.;2023-10-01
72;74;222;2;Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.;2024-05-05
73;194;158;1;Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.;2024-02-21
74;122;97;5;Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.;2024-06-21
75;131;438;2;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.";2024-04-09
